ID,Work Item Type,Title,Assigned To,State,Tags
"160","User Story","As an Administrator, I want to manage product inventory efficiently",,"New",
"161","User Story","As a Customer, I want to leave product reviews and ratings",,"New",
"162","User Story","As a Guest User, I want to track my order without creating an account.",,"New",
"163","User Story","Integration with popular social media platforms",,"Resolved",
"164","User Story","Analysis",,"New",
"165","User Story","Enhancements in performance and load time",,"New",
"166","User Story","Wishlist enhancement",,"Closed",
"169","User Story","Credit card section",,"New",
"170","User Story","Debit card section",,"Active",
"171","User Story","Internet banking option",,"New",
"177","User Story","Add azure cognitive search service",,"New",
"178","User Story","Implement login with different social media platforms",,"New",
"179","User Story","API to fetch product visited by individual account",,"Closed",
"199","User Story","Algorithm to display the expected delivery date",,"New",
"200","User Story","Option to change the shipment address after order placed",,"New",
